custID,satCleanRoom,satCleanBath,satCleanCommon,satRoomPrice,satDiningPrice,satWifiPrice,satParkingPrice,satPerks,satCity,satCloseTransp,satCloseEvents,satPoints,satRecognition,satFrontStaff,satDiningStaff,satHouseStaff,satValetStaff,satOverall,distanceTraveled,nightsStayed,visitPurpose,avgRoomSpendPerNight,avgFoodSpendPerNight,avgWifiSpendPerNight,eliteSegment
ID_1,4,5,4,2,3,5,4,5,6,4,5,5,4,5,4,4,4,5,451,4,Vacation,144,22.64,4.46,Gold
ID_2,4,4,3,5,5,5,5,5,5,3,6,5,4,5,4,7,3,5,179,2,Concert,159,10,11.45,Silver
ID_3,5,4,6,4,4,3,4,5,2,3,4,3,2,4,3,4,3,4,1305,4,OtherOrMixed,159,33.23,6.46,Silver
ID_4,5,4,6,2,4,7,4,5,4,4,4,5,4,5,3,5,4,6,188,6,Conference,145.67,41.26,5.63,Platinum
ID_5,2,5,4,5,4,4,5,5,2,4,4,5,3,4,5,5,4,4,516,2,Vacation,149,30.24,0,Silver
ID_6,1,1,3,4,4,5,5,4,3,4,5,5,3,3,3,4,2,4,1456,3,SportsEvent,162.33,10,0,Gold
ID_7,6,5,4,5,3,4,4,4,5,4,6,3,3,4,3,5,4,4,301,2,SportsEvent,174,27.36,5,NoStatus
ID_8,5,5,4,3,5,4,4,5,5,5,4,5,5,5,5,3,5,4,762,5,Concert,149,87.39,9.57,Platinum
ID_9,5,5,5,4,4,2,6,3,3,4,5,2,4,4,4,7,3,4,366,3,SportsEvent,149,28.44,5.3,NoStatus
ID_10,5,5,4,3,2,1,3,3,4,2,4,3,2,3,2,3,3,2,266,3,SportsEvent,159,37.02,10.3,NoStatus
ID_11,4,5,4,3,3,5,4,4,4,5,3,4,4,3,3,3,6,4,889,3,Conference,155.67,41.49,2.65,Silver
ID_12,3,4,3,4,4,4,6,5,3,6,4,5,3,5,3,6,3,5,1888,3,Concert,152.33,37.11,0,Silver
ID_13,6,6,4,5,5,4,5,5,5,6,6,5,4,6,3,5,3,6,2864,3,SportsEvent,159,20.78,11.63,Platinum
ID_14,4,4,5,3,2,4,4,4,6,5,4,5,5,3,3,4,4,4,1166,4,Business,149,0,10.21,Gold
ID_15,2,3,2,3,4,3,4,4,5,4,4,3,4,3,3,5,2,4,694,1,Vacation,159,15,7.95,NoStatus
